"qid","presidente","value"
"q0","fdelarua_0","25.89119"
"q1","fdelarua_0","10.83983"
"q2","fdelarua_0","24.97517"
"q3","fdelarua_0","20.56706"
"q4","fdelarua_0","47.70715"
"q5","fdelarua_0","44.12032"
"q6","fdelarua_0","10.70280"
"q7","fdelarua_0","19.39029"
"q8","fdelarua_0","22.11825"
"q9","fdelarua_0","19.48077"
"q0","eduhalde_0","8.31530"
"q1","eduhalde_0","2.22312"
"q2","eduhalde_0","13.57815"
"q3","eduhalde_0","8.36929"
"q4","eduhalde_0","10.44093"
"q5","eduhalde_0","12.96109"
"q6","eduhalde_0","12.20303"
"q7","eduhalde_0","10.32788"
"q8","eduhalde_0","15.87361"
"q9","eduhalde_0","9.07165"
"q0","nkirchner_0","48.79627"
"q1","nkirchner_0","26.19906"
"q2","nkirchner_0","34.59036"
"q3","nkirchner_0","31.23352"
"q4","nkirchner_0","72.99889"
"q5","nkirchner_0","61.35731"
"q6","nkirchner_0","25.86658"
"q7","nkirchner_0","35.79474"
"q8","nkirchner_0","44.09811"
"q9","nkirchner_0","37.96356"
"q0","ckirchner_1","18.81764"
"q1","ckirchner_1","12.19617"
"q2","ckirchner_1","21.06034"
"q3","ckirchner_1","18.83273"
"q4","ckirchner_1","27.96714"
"q5","ckirchner_1","26.21042"
"q6","ckirchner_1","8.36596"
"q7","ckirchner_1","14.50173"
"q8","ckirchner_1","19.67702"
"q9","ckirchner_1","16.80532"
"q0","mmacri_0","71.11698"
"q1","mmacri_0","34.22169"
"q2","mmacri_0","51.30738"
"q3","mmacri_0","40.03669"
"q4","mmacri_0","76.82043"
"q5","mmacri_0","72.43737"
"q6","mmacri_0","42.29963"
"q7","mmacri_0","44.57808"
"q8","mmacri_0","62.62442"
"q9","mmacri_0","53.79318"
"q0","afernandez_0","61.29775"
"q1","afernandez_0","42.29946"
"q2","afernandez_0","29.36414"
"q3","afernandez_0","21.57500"
"q4","afernandez_0","74.73397"
"q5","afernandez_0","68.72798"
"q6","afernandez_0","38.96095"
"q7","afernandez_0","35.81032"
"q8","afernandez_0","52.75583"
"q9","afernandez_0","41.76849"
"q0","jmilei_0","34.90819"
"q1","jmilei_0","13.13075"
"q2","jmilei_0","24.69593"
"q3","jmilei_0","21.68327"
"q4","jmilei_0","50.97310"
"q5","jmilei_0","50.56562"
"q6","jmilei_0","19.98898"
"q7","jmilei_0","22.53468"
"q8","jmilei_0","30.87901"
"q9","jmilei_0","20.61366"
